month,lending_interest_inklprovisions_finansierselskap
2015K1,2.93
2015K2,2.9
2015K3,2.7
2015K4,2.68
2016K1,2.73
2016K2,2.69
2016K3,2.72
2016K4,2.73
2017K1,2.63
2017K2,2.52
2017K3,2.36
2017K4,2.38
2018K1,2.43
2018K2,2.53
2018K3,2.93
2018K4,3.03
2019K1,3.11
2019K2,3.2
2019K3,3.27
2019K4,3.42
2020K1,3.26
2020K2,2.28
2020K3,1.98
2020K4,2.02
2021K1,2.11
2021K2,1.96
2021K3,2.02
2021K4,2.36
2022K1,2.71
2022K2,2.94
2022K3,3.92
2022K4,4.74
2023K1,4.83
2023K2,5.4
2023K3,6.16
2023K4,6.33
2024K1,6.37
2024K2,6.38
2024K3,6.37
2015K1,3.79
2015K2,3.85
2015K3,3.58
2015K4,3.57
2016K1,3.45
2016K2,3.5
2016K3,3.64
2016K4,4.08
2017K1,4.12
2017K2,3.59
2017K3,3.47
2017K4,3.39
2018K1,3.25
2018K2,3.41
2018K3,3.44
2018K4,3.65
2019K1,3.56
2019K2,3.76
2019K3,3.98
2019K4,4.19
2020K1,4.03
2020K2,3.59
2020K3,3.29
2020K4,3.3
2021K1,3.24
2021K2,3.14
2021K3,3.13
2021K4,3.33
2022K1,3.69
2022K2,3.88
2022K3,4.59
2022K4,5.44
2023K1,5.74
2023K2,6.2
2023K3,6.75
2023K4,6.89
